known-answer checks OK
 b  P   Q  j   h | N=1000     N=10000    N=100000   N=400000     fitted (log N)^-a
 3  2   2  1   1 | 0.074865   0.047443   0.028714   0.021333     a = 2.00
 3  2   2  1   2 | 0.069420   0.027335   0.011553   0.006654     a = 3.71
 4  3   6  1   1 | 0.020484   0.011629   0.008291   0.005849     a = 1.93
 4  3   6  3   1 | 0.086047   0.062978   0.045622   0.037540     a = 1.32
 4  3   6  1   3 | 0.045159   0.017929   0.010670   0.007064     a = 2.90
 5  3   6  1   1 | 0.016882   0.010193   0.006936   0.005121     a = 1.86
 3  5  30  7   1 | 0.009188   0.005551   0.000902   0.001698     a = 3.43

h=0 control (must be |mean of e(jn/Q)| ~ 1/N, i.e. -> 0 trivially):
    {1000: 0.0, 10000: 0.0, 100000: 0.0, 400000: 0.0}
