known-answer checks OK
b=3 m=1  |mean| of zeta^(omega(pn+1)-omega(qn+1))
pair              1000       10000      100000     1000000     1000000
  2,3          0.09007     0.03072     0.01539     0.00745
  2,5          0.14800     0.07910     0.04014     0.02173
  2,7          0.06518     0.02636     0.00659     0.00291
  2,11         0.09350     0.05324     0.02568     0.01330
  2,13         0.07566     0.02079     0.00241     0.00217
  3,2          0.09007     0.03072     0.01539     0.00745
  3,5          0.16423     0.08337     0.03888     0.02203
  3,7          0.14467     0.06704     0.03374     0.01640
  3,11         0.11801     0.06114     0.02676     0.01438
  3,13         0.21245     0.10708     0.05754     0.03344
  5,2          0.14800     0.07910     0.04014     0.02173
  5,3          0.16423     0.08337     0.03888     0.02203
  5,7          0.05672     0.02803     0.00943     0.00433
  5,11         0.22206     0.11519     0.06628     0.03849
  5,13         0.07251     0.02669     0.00441     0.00157
  7,2          0.06518     0.02636     0.00659     0.00291
  7,3          0.14467     0.06704     0.03374     0.01640
  7,5          0.05672     0.02803     0.00943     0.00433
  7,11         0.02685     0.01103     0.00377     0.00164
  7,13         0.15589     0.09712     0.05099     0.02938
 11,2          0.09350     0.05324     0.02568     0.01330
 11,3          0.11801     0.06114     0.02676     0.01438
 11,5          0.22206     0.11519     0.06628     0.03849
 11,7          0.02685     0.01103     0.00377     0.00164
 11,13         0.01970     0.01104     0.00120     0.00106
 13,2          0.07566     0.02079     0.00241     0.00217
 13,3          0.21245     0.10708     0.05754     0.03344
 13,5          0.07251     0.02669     0.00441     0.00157
 13,7          0.15589     0.09712     0.05099     0.02938
 13,11         0.01970     0.01104     0.00120     0.00106

sqrt(N)*|mean| at N=1000000:
  (5, 11): 38.490   (p-q mod b = 0)
  (11, 5): 38.490   (p-q mod b = 0)
  (3, 13): 33.440   (p-q mod b = 2)
  (13, 3): 33.440   (p-q mod b = 1)
  (7, 13): 29.380   (p-q mod b = 0)
  (13, 7): 29.380   (p-q mod b = 0)
  (3, 5): 22.026   (p-q mod b = 1)
  (5, 3): 22.026   (p-q mod b = 2)
  (2, 5): 21.734   (p-q mod b = 0)
  (5, 2): 21.734   (p-q mod b = 0)
  (3, 7): 16.402   (p-q mod b = 2)
  (7, 3): 16.402   (p-q mod b = 1)
  (3, 11): 14.378   (p-q mod b = 1)
  (11, 3): 14.378   (p-q mod b = 2)
  (2, 11): 13.304   (p-q mod b = 0)
  (11, 2): 13.304   (p-q mod b = 0)
  (2, 3): 7.454   (p-q mod b = 2)
  (3, 2): 7.454   (p-q mod b = 1)
  (5, 7): 4.330   (p-q mod b = 1)
  (7, 5): 4.330   (p-q mod b = 2)
  (2, 7): 2.910   (p-q mod b = 1)
  (7, 2): 2.910   (p-q mod b = 2)
  (13, 2): 2.173   (p-q mod b = 2)
  (2, 13): 2.173   (p-q mod b = 1)
  (7, 11): 1.644   (p-q mod b = 2)
  (11, 7): 1.644   (p-q mod b = 1)
  (13, 5): 1.567   (p-q mod b = 2)
  (5, 13): 1.567   (p-q mod b = 1)
  (11, 13): 1.062   (p-q mod b = 1)
  (13, 11): 1.062   (p-q mod b = 2)
