p=  7 Q=  3 K<=2 M=    7 M/Q^2=0.778 B=10 digits=[3, 1]
p= 11 Q=  5 K<=2 M=   23 M/Q^2=0.920 B=73 digits=[7, 6]
p= 13 Q=  6 K<=2 M=   27 M/Q^2=0.750 B=74 digits=[9, 5]
p= 17 Q=  8 K<=2 M=   32 M/Q^2=0.500 B=88 digits=[3, 5]
p= 19 Q=  9 K<=2 M=   35 M/Q^2=0.432 B=105 digits=[10, 5]
p= 23 Q= 11 K<=2 M=   82 M/Q^2=0.678 B=111 digits=[19, 4]
p= 29 Q= 14 K<=2 M=   63 M/Q^2=0.321 B=152 digits=[7, 5]
p= 31 Q= 15 K<=2 M=  104 M/Q^2=0.462 B=142 digits=[18, 4]
p= 37 Q= 18 K<=2 M=  117 M/Q^2=0.361 B=181 digits=[33, 4]
p= 41 Q= 20 K<=2 M=  119 M/Q^2=0.297 B=383 digits=[14, 9]
p= 43 Q= 21 K<=2 M=  148 M/Q^2=0.336 B=204 digits=[32, 4]
p= 47 Q= 23 K<=2 M=  160 M/Q^2=0.302 B=430 digits=[7, 9]
p= 53 Q= 26 K<=2 M=  206 M/Q^2=0.305 B=757 digits=[15, 14]
p= 59 Q= 29 K<=2 M=  405 M/Q^2=0.482 B=253 digits=[17, 4]
p= 61 Q= 30 K<=2 M=  178 M/Q^2=0.198 B=1338 digits=[57, 21]
